String;String;
;Austria;
American Institutes for Research;USA;
American University in Bosnia and Herzegovina;Bosnia_and_Herzegovina;
American University of Nigeria;Nigeria;
Apollo Group;USA;
Applied Research Associates, Inc., Raleigh;USA;
Arizona State University;USA;
Aroline AG;Germany;
Ateneo de Manila University;Philippines;
Athabasca University;Canada;
Australian Catholic University;Australia;
Australian Council for Educational Research;Australia;
Autonomous University of Yucatan;Mexico;
Autonomous University of Zacatecas;Mexico;
Ball State University;USA;
Beijing Normal University;China;
Ben-Gurion University;Israel;
Bentley College;USA;
Beuth Hochschule fur Technik Berlin;Germany;
Beuth University of Applied Sciences;Germany;
Birkbeck College;United Kingdom;
Boise State University;USA;
Boulder Language Technologies;;
Brandeis University;USA;
Brunel Business School;United Kingdom;
Cairo Microsoft Innovation Lab;Egypt;
Cairo University;Egypt;
Carnegie Learning Inc.;USA;
Carnegie Mellon University;USA;
Center for Technology Innovation;USA;
Centre for Applied Information and Communication Technology - Copenhagen Business School;Denmark;
Claremont Graduate University;USA;
Clausthal University of Technology;USA;
Copenhagen Business School;Denmark;
Cordoba University;Spain;
DFKI;Germany;
Dankook University;South Korea;
De La Salle University;Philippines;
Desire2Learn Incorporated;Canada;
Dipartimento di Sistemi e Informatica;Italia;
Dominion University;USA;
EPS-Universidad Autonoma de Madrid;Spain;
ETH Zurich;Switzerland;
Ecole Polytechnique de Montreal;Canada;
EdLab;USA;
Educational Initiatives Pvt. Ltd.;India;
Educational Testing Service;USA;
Eindhoven University of Technology;Netherlands;
Electronics Research Institute;Egypt;
European Schoolnet (EUN);Belgium;
FZI Research Center for Information Technologies;Germany;
Fraunhofer Institute for Applied Information Technology;Germany;
Fukui Prefectural University;JAPAN;
Grand Ledge Public Schools;USA;
Graz University of Technology;Austria;
Greek Research and Technology Network (GRNET);Greece;
Grockit, Inc.;USA;
Hacettepe University;Turkey;
Hiroshima University;JAPAN;
Hochschule fur Technik und Wirtschaft;Germany;
Hochschule fur Wirtschaft und Recht;Germany;
Hyogo University of Teacher Education;Japan;
Indiana University-Purdue University;USA;
Institute of Cognitive Science;USA;
Institute of Education;United Kingdom;
Kent State University;USA;
Know-Center GmbH;Austria;
Konan University;Japan;
Kyushu University;JAPAN;
Laboratoire de Paris 6;France;
Maastricht University;Netherlands;
Macquarie University;Australia;
Marist College;USA;
Masaryk University;Czech_Republic;
Massachusetts Institute of Technology;USA;
McGill University;Canada;
Metropolitan State College of Denver;USA;
Michigan State University;USA;
Monash University;Australia;
National Research University;Russia;
New York University;USA;
Newcastle University;United Kingdom;
Niigata University;JAPAN;
North Carolina State University;USA;
Northern Illinois University;USA;
Northwestern University;USA;
Open Universiteit;Netherlands;
Open University of the Netherland;Netherlands;
Open University of the Netherlands;Netherlands;
Osaka University;Japan;
Otto-von-Guericke-University;Germany;
Oviedo University;Spain;
Pearson;USA;
Pearson Education;USA;
Philips Research Laboratories;;
Polytechnique Montreal;Canada;
Purdue University;USA;
Quizzicle;USA;
RWTH Aachen University;Germany;
SESS Robert Morris University;;
SRI International;USA;
Saarland University;Germany;
School of Education;USA;
Sharif University of Technology;;
Sheffield University;United Kingdom;
Simon Fraser University;Canada;
Sofia University St. Kl. Ohridski;Bulgaria;
SolBridge International School of Business;South Korea;
South Orange County Community College District;USA;
Stanford University;USA;
Tallinn University;Estonia;
Tallinn University of Technology;Estonia;
Technical University of Lisbon;Portugal;
